Grade,Strand,Standard,Arts,Code,Benchmark
Grades 9-12,1. Artistic Foundations,1. Demonstrate knowledge of the foundations of the arts area.,Dance,9.1.1.1.1,"1. Analyze how the elements of dance including body, action, space, time and energy are combined to communicate meaning in the creation of, performance of, or response to dance."
Grades 9-12,1. Artistic Foundations,1. Demonstrate knowledge of the foundations of the arts area.,Dance,9.1.1.1.2,"2. Analyze how choreographic principles such as repetition, pattern, unity, theme and variation are used in the creation of, performance of, or response to dance."
Grades 9-12,1. Artistic Foundations,1. Demonstrate knowledge of the foundations of the arts area.,Dance,9.1.1.1.3,"3. Analyze how Western and non-Western styles or genres of dance such as African, ballet, Capoeira, classical, Indian, folk, improvisation, modern, social tap/percussive and West African, contribute to the creation of, performance of, or response to dance."
Grades 9-12,1. Artistic Foundations,1. Demonstrate knowledge of the foundations of the arts area.,Dance,9.1.1.1.4,4. Apply understanding of the health and safety issues related to dance.
Grades 9-12,1. Artistic Foundations,"2. Demonstrate knowledge and use of the technical skills of the art form, integrating technology when applicable.",Dance,9.1.2.1.1,"1. Synthesize control, coordination, balance, body alignment, musicality and expressive qualities through movement replication and improvisation in more than one dance tradition."
Grades 9-12,1. Artistic Foundations,"2. Demonstrate knowledge and use of the technical skills of the art form, integrating technology when applicable.",Dance,9.1.2.1.2,"2. Select technology for purposes of research, feedback, documentation, choreography and production."
Grades 9-12,1. Artistic Foundations,"3. Demonstrate understanding of the personal, social, cultural and historical contexts that influence the arts areas.",Dance,9.1.3.1.1,"1. Analyze how a work in dance influences or is influenced by the personal, social, cultural and historical contexts, including the contributions of Minnesota American Indian tribes and communities."
Grades 9-12,1. Artistic Foundations,"3. Demonstrate understanding of the personal, social, cultural and historical contexts that influence the arts areas.",Dance,9.1.3.1.2,"2. Synthesize and express an individual view of the meanings and functions of dance such as dance as art, ritual, cultural expressions, entertainment, spectacle and its social contexts."
Grades 9-12,2. Artistic Process: Create or Make,1. Create or make in a variety of contexts in the arts area using the artistic foundations,Dance,9.2.1.1.1,1. Create solo or ensemble work that integrates technology and production elements in more than one context.
Grades 9-12,2. Artistic Process: Create or Make,1. Create or make in a variety of contexts in the arts area using the artistic foundations,Dance,9.2.1.1.2,2. Revise creative work based on artistic intent and using multiple sources of critique and feedback.
Grades 9-12,2. Artistic Process: Create or Make,1. Create or make in a variety of contexts in the arts area using the artistic foundations,Dance,9.2.1.1.3,"3. Justify an artistic statement, including how audience and occasion influence creative choices."
Grades 9-12,3. Artistic Process: Perform or Present,1. Perform or present in a variety of contexts in the arts area using the artistic foundations.,Dance,9.3.1.1.1,"1. Rehearse and perform solo and ensemble work that demonstrates technical, artistic and performance skills such as alignment, spatial use, musicality, dynamic range and expressivity."
Grades 9-12,3. Artistic Process: Perform or Present,1. Perform or present in a variety of contexts in the arts area using the artistic foundations.,Dance,9.3.1.1.2,2. Revise a performance based on artistic intent and using multiple sources of critique and feedback.
Grades 9-12,3. Artistic Process: Perform or Present,1. Perform or present in a variety of contexts in the arts area using the artistic foundations.,Dance,9.3.1.1.3,"3. Justify artistic intent, including how audience and occasion influence performance choices. "
Grades 9-12,4. Artistic Process: Respond or Critique,1. Respond to or critique a variety of creations and performances using the artistic foundations.,Dance,9.4.1.1.1,"1. Analyze, interpret and evaluate dance works and performances using self-selected criteria within the traditions of the art form."
Grades 9-12,4. Artistic Process: Respond or Critique,1. Respond to or critique a variety of creations and performances using the artistic foundations.,Dance,9.4.1.1.2,2. Justify choices of self-selected criteria based on knowledge of how criteria affects criticism.
