Grade,Strand,Substrand,Standard,Code,Benchmark,For Example
9/12,2. Economics,1. Economic Reasoning Skills,"1. People make informed economic choices by identifying their goals, interpreting and applying data, considering the short- and long-run costs and benefits of alternative choices and revising their goals based on their anlysis. ",9.2.1.1.1,"Apply reasoned decision-making techniques in making choices; explain why different individuals, households, organizations and/or governments faced with the same alternatives might make different choices. ","For example: Decision-making techniques—PACED decision-making process (Problem, Alternative, Criteria, Evaluation, Decision) , benefit-cost analysis, marginal analysis, consideration of sunk costs, results of behavioral economics. "
9/12,2. Economics,2. Personal Finance,"2. Personal and financial goals can be achieved by applying economic concepts and principles to personal financial planning, budgeting, spending, saving, investing, borrowing and insuring decisions.",9.2.2.2.1,Establish financial goals; make a financial plan considering budgeting and asset building to meet those goals; and determine ways to track the success of the plan.,"For example: Goals—college education, start a business, buy a house, retire comfortably; calculate net (or disposable) income. Plan— calculate necessary saving to meet a financial goal; create a cash-flow or income-expense statement; create a balance sheet showing assets and liabilities."
9/12,2. Economics,2. Personal Finance,"2. Personal and financial goals can be achieved by applying economic concepts and principles to personal financial planning, budgeting, spending, saving, investing, borrowing and insuring decisions.",9.2.2.2.2,"Evaluate investment options using criteria such as risk, return, liquidity and time horizon; evaluate and apply risk management strategies in investing and insuring decisions.","For example: Apply PACED decision-making process (Problem, Alternative, Criteria, Evaluation, Decision). Investment options—stocks, bonds, savings account, CDs, real estate. Risk management strategies— diversification, dollar-averaging, safe driving, buying homeowners insurance."
9/12,2. Economics,2. Personal Finance,"2. Personal and financial goals can be achieved by applying economic concepts and principles to personal financial planning, budgeting, spending, saving, investing, borrowing and insuring decisions.",9.2.2.2.3,"Evaluate the benefits and costs of credit; describe the “three C’s” of credit (character, capacity and collateral) and explain how these attributes can affect one's ability to borrow, rent, get a job and achieve other financial goals.","For example: Two typical costs of credit are the finance charges and a lower degree of financial security. A person’s FICO score is a measure of their character and the lower it is, the higher the interest rates they usually must pay to borrow."
9/12,2. Economics,2. Personal Finance,"2. Personal and financial goals can be achieved by applying economic concepts and principles to personal financial planning, budgeting, spending, saving, investing, borrowing and insuring decisions.",9.2.2.2.4,"Explain the pricing, sales, advertising and other marketing strategies used to sell products from a consumer perspective.","For example: Unit pricing, sales tactics which can help or hinder choices, advertising which can provide useful information or misleading claims, scams, fraudulent offers."
9/12,2. Economics,3. Fundamental Concepts,"3. Because of scarcity, individuals, organizations and governments must evaluate trade-offs, make choices and incur opportunity costs.",9.2.3.3.1,"Identify the incentives and trade- offs related to a choice made by an individual, household, organization or government; describe the opportunity cost of a choice; and analyze the consequences of a choice (both intended and unintended).","For example: An opportunity cost of choosing to spend more than your income, be it an individual or government, is less financial security and ability to spend later."
9/12,2. Economics,3. Fundamental Concepts,"4. Economic systems differ in the ways that they address the three basic economic issues of allocation, production and distribution to meet society’s broad economic goals.",9.2.3.4.1,Explain how the availability of productive resources and technology limits the production of goods and services.,"For example: Productive resources— human, capital, natural, and entrepreneurial; production possibilities curve and shifts of this curve; effects of technological change."
9/12,2. Economics,3. Fundamental Concepts,"4. Economic systems differ in the ways that they address the three basic economic issues of allocation, production and distribution to meet society’s broad economic goals.",9.2.3.4.2,"Compare and contrast the characteristics of traditional, command (planned), market-based (capitalistic) and mixed economic systems.","For example: Characteristics— ownership of resources, consumer sovereignty, amount of government involvement, underlying incentives, compatibility with democratic principles. How does each system answer these questions: What to produce? How to produce? For whom to produce?"
9/12,2. Economics,3. Fundamental Concepts,"4. Economic systems differ in the ways that they address the three basic economic issues of allocation, production and distribution to meet society’s broad economic goals.",9.2.3.4.3,Define broad economic goals and describe the trade-offs that exist between them; evaluate how different economic systems achieve these goals in theory and in practice.,"For example: Economic goals— efficiency, equity, security, stability, freedom, growth. Trade-offs—a market-based economy may achieve the goals of efficiency and freedom, but sometimes at the expense of security and equity; a command economy is more equitable in theory than in practice."
9/12,2. Economics,3. Fundamental Concepts,"5. Individuals, businesses and governments interact and exchange goods, services and resources in different ways and for different reasons; interactions between buyers and sellers in a market determines the price and quantity exchanged of a good, service or resource.",9.2.4.5.1,"Describe the role of households, businesses and governments in the movement of resources, goods and services, and money in an economy.",For example: Circular flow model— households sell resources to earn income to buy goods and services; businesses buy resources to produce goods and services they sell for revenue; governments impose taxes and buy goods and services.
9/12,2. Economics,3. Fundamental Concepts,"5. Individuals, businesses and governments interact and exchange goods, services and resources in different ways and for different reasons; interactions between buyers and sellers in a market determines the price and quantity exchanged of a good, service or resource.",9.2.4.5.2,"Describe the role of markets in the movement of resources, goods and services, and money in an economy.","For example: Product markets (exchange of goods and services), resource markets (households are sellers and businesses are buyers)."
9/12,2. Economics,3. Fundamental Concepts,"5. Individuals, businesses and governments interact and exchange goods, services and resources in different ways and for different reasons; interactions between buyers and sellers in a market determines the price and quantity exchanged of a good, service or resource.",9.2.4.5.3,Explain that market demand is based on each buyer’s willingness and ability to pay and the number of buyers in the market; analyze the effect of factors that can change demand.,"For example: Factors—income/wealth, prices of other goods, consumer tastes and preferences, expectations. An increase in the price of sugar leads to an increase in the demand for corn syrup, a substitute."
