Code,Standard,Benchmark,"Curriculum Course/Unit/Lesson","Assessment (Evidence of Mastery)"
9.2.1.1,"Understand the concept of function, and identify important features of functions and other relations using symbolic and graphical methods where appropriate.",Understand the definition of a function. Use functional notation and evaluate a function at a given point in its domain. ,n/a,n/a
9.2.1.2,"Understand the concept of function, and identify important features of functions and other relations using symbolic and graphical methods where appropriate.","Distinguish between functions and other relations defined symbolically, graphically or in tabular form.",n/a,n/a
9.2.1.3,"Understand the concept of function, and identify important features of functions and other relations using symbolic and graphical methods where appropriate.","Find the domain of a function defined symbolically, graphically or in a real-world context. ",n/a,n/a
9.2.1.4,"Understand the concept of function, and identify important features of functions and other relations using symbolic and graphical methods where appropriate.",Obtain information and draw conclusions from graphs of functions and other relations. ,n/a,n/a
9.2.1.5,"Understand the concept of function, and identify important features of functions and other relations using symbolic and graphical methods where appropriate.","Identify the vertex, line of symmetry and intercepts of the parabola corresponding to a quadratic function, using symbolic and graphical methods, when the function is expressed in the form      f(x) = ax2 + bx + c, in the form     f(x) = a(x – h)2 + k , or in factored form.",n/a,n/a
9.2.1.6,"Understand the concept of function, and identify important features of functions and other relations using symbolic and graphical methods where appropriate.","Identify intercepts, zeros, maxima, minima and intervals of increase and decrease from the graph of a function. ",n/a,n/a
9.2.1.7,"Understand the concept of function, and identify important features of functions and other relations using symbolic and graphical methods where appropriate.","Understand the concept of an asymptote and identify asymptotes for exponential functions and reciprocals of linear functions, using symbolic and graphical methods.",n/a,n/a
9.2.1.8,"Understand the concept of function, and identify important features of functions and other relations using symbolic and graphical methods where appropriate.","Make qualitative statements about the rate of change of a function, based on its graph or table of values. ",n/a,n/a
9.2.1.9,"Understand the concept of function, and identify important features of functions and other relations using symbolic and graphical methods where appropriate.",Determine how translations affect the symbolic and graphical forms of a function. Know how to use graphing technology to examine translations. ,n/a,n/a
9.2.2.1,"Recognize linear, quadratic, exponential and other common functions in real-world and mathematical situations; represent these functions with tables, verbal descriptions, symbols and graphs; solve problems involving these functions, and explain results in the original context.",Represent and solve problems in various contexts using linear and quadratic functions. ,n/a,n/a
9.2.2.2,"Recognize linear, quadratic, exponential and other common functions in real-world and mathematical situations; represent these functions with tables, verbal descriptions, symbols and graphs; solve problems involving these functions, and explain results in the original context.","Represent and solve problems in various contexts using exponential functions, such as investment growth, depreciation and population growth. ",n/a,n/a
9.2.2.3,"Recognize linear, quadratic, exponential and other common functions in real-world and mathematical situations; represent these functions with tables, verbal descriptions, symbols and graphs; solve problems involving these functions, and explain results in the original context.","Sketch graphs of linear, quadratic and exponential functions, and translate between graphs, tables and symbolic representations. Know how to use graphing technology to graph these functions.",n/a,n/a
9.2.2.4,"Recognize linear, quadratic, exponential and other common functions in real-world and mathematical situations; represent these functions with tables, verbal descriptions, symbols and graphs; solve problems involving these functions, and explain results in the original context.","Express the terms in a geometric sequence recursively and by giving an explicit (closed form) formula, and express the partial sums of a geometric series recursively. ",n/a,n/a
9.2.2.5,"Recognize linear, quadratic, exponential and other common functions in real-world and mathematical situations; represent these functions with tables, verbal descriptions, symbols and graphs; solve problems involving these functions, and explain results in the original context.","Recognize and solve problems that can be modeled using finite geometric sequences and series, such as home mortgage and other compound interest examples. Know how to use spreadsheets and calculators to explore geometric sequences and series in various contexts.",n/a,n/a
9.2.2.6,"Recognize linear, quadratic, exponential and other common functions in real-world and mathematical situations; represent these functions with tables, verbal descriptions, symbols and graphs; solve problems involving these functions, and explain results in the original context.","Sketch the graphs of common non-linear functions such as           f(x) = sqrt(x), f(x) = abs(x), f(x) = 1/x,  f (x) = x^3, and translations of these functions, such as f(x) = sqrt(x - 2) + 4.  Know how to use graphing technology to graph these functions.",n/a,n/a
