Grade,Strand,Standard,Arts,Code,Benchmark
Grades 9-12,1. Artistic Foundations,1. Demonstrate knowledge of the foundations of the arts area.,Media Arts,9.1.1.2.1,"1. Analyze how the elements in media arts such as image, sound, space, time, motion and sequence, are combined to communicate meaning in the creation of, presentation of, or response to media arts."
Grades 9-12,1. Artistic Foundations,1. Demonstrate knowledge of the foundations of the arts area.,Media Arts,9.1.1.2.2,"2. Evaluate how the principles of media arts such as repetition, unity and contrast are used in the creation of, presentation of, or response to media artworks."
Grades 9-12,1. Artistic Foundations,1. Demonstrate knowledge of the foundations of the arts area.,Media Arts,9.1.1.2.3,"3. Analyze how the characteristics of a variety of styles and genres such as documentary, narrative or abstract, contribute to the creation of, presentation of, or response to media artworks."
Grades 9-12,1. Artistic Foundations,1. Demonstrate knowledge of the foundations of the arts area.,Media Arts,9.1.1.2.4,4. Apply understanding of the health and safety issues related to creating in media arts.
Grades 9-12,1. Artistic Foundations,"2. Demonstrate knowledge and use of the technical skills of the art form, integrating technology when applicable.",Media Arts,9.1.2.2.1,"1. Integrate tools, materials, and techniques to create original products for artistic purposes."
Grades 9-12,1. Artistic Foundations,"2. Demonstrate knowledge and use of the technical skills of the art form, integrating technology when applicable.",Media Arts,9.1.2.2.1,2. Integrate linear and non-linear software including video- and sound-editing software to create original products for expressive intent.
Grades 9-12,1. Artistic Foundations,"3. Demonstrate understanding of the personal, social, cultural and historical contexts that influence the arts areas.",Media Arts,9.1.3.2.1,"1. Analyze how a work in media arts influences and is influenced by the personal, social, cultural and historical contexts, including the contributions of Minnesota American Indian tribes and communities."
Grades 9-12,1. Artistic Foundations,"3. Demonstrate understanding of the personal, social, cultural and historical contexts that influence the arts areas.",Media Arts,9.1.3.2.2,2. Synthesize and express an individual view of the meanings and functions of media arts.
Grades 9-12,2. Artistic Process: Create or Make,1. Create or make in a variety of contexts in the arts area using the artistic foundations,Media Arts,9.2.1.2.1,"1. Create a single, complex work or multiple works in media arts."
Grades 9-12,2. Artistic Process: Create or Make,1. Create or make in a variety of contexts in the arts area using the artistic foundations,Media Arts,9.2.1.2.2,2. Revise creative work based on artistic intent and using multiple sources of critique and feedback.
Grades 9-12,2. Artistic Process: Create or Make,1. Create or make in a variety of contexts in the arts area using the artistic foundations,Media Arts,9.2.1.2.3,"3. Justify an artistic statement, including how audience and occasion influence creative choices."
Grades 9-12,3. Artistic Process: Perform or Present,1. Perform or present in a variety of contexts in the arts area using the artistic foundations.,Media Arts,9.3.1.2.1,"1. Present, exhibit, publish or demonstrate collections of media artworks for different audiences and occasions."
Grades 9-12,3. Artistic Process: Perform or Present,1. Perform or present in a variety of contexts in the arts area using the artistic foundations.,Media Arts,9.3.1.2.2,2. Revise a presentation based on artistic intent and using multiple sources of critique and feedback.
Grades 9-12,3. Artistic Process: Perform or Present,1. Perform or present in a variety of contexts in the arts area using the artistic foundations.,Media Arts,9.3.1.2.3,"3. Justify artistic intent, including how audience and occasion influence presentation choices."
Grades 9-12,4. Artistic Process: Respond or Critique,1. Respond to or critique a variety of creations and performances using the artistic foundations.,Media Arts,9.4.1.2.1,"1. Analyze, interpret and evaluate a variety of media artworks by applying self-selected criteria within the traditions of the art form."
Grades 9-12,4. Artistic Process: Respond or Critique,1. Respond to or critique a variety of creations and performances using the artistic foundations.,Media Arts,9.4.1.2.2,2. Justify choices of self-selected criteria based on knowledge of how criteria affects criticism.
