Grade,Strand,Standard,Arts,Code,Benchmark
Grades 9-12,1. Artistic Foundations,1. Demonstrate knowledge of the foundations of the arts area.,Music,9.1.1.3.1,"1. Analyze how the elements of music including melody, rhythm, harmony, dynamics, tone color, texture, form and their related concepts are combined to communicate meaning in the creation of, performance of, or response to music."
Grades 9-12,1. Artistic Foundations,1. Demonstrate knowledge of the foundations of the arts area.,Music,9.1.1.3.2,"2. Evaluate how the elements of music and related concepts such as repetition, pattern, balance and emphasis are used in the creation of, performance of, or response to music."
Grades 9-12,1. Artistic Foundations,1. Demonstrate knowledge of the foundations of the arts area.,Music,9.1.1.33,"3. Analyze how the characteristics of a variety of genres and styles contribute to the creation of, performance of, or response to music."
Grades 9-12,1. Artistic Foundations,1. Demonstrate knowledge of the foundations of the arts area.,Music,9.1.1.3.4,"4. Apply understanding of the health and safety issues related to creating, performing and responding to music."
Grades 9-12,1. Artistic Foundations,"2. Demonstrate knowledge and use of the technical skills of the art form, integrating technology when applicable.",Music,9.1.2.3.1,"1. Read and notate music using standard notation system such as complex meters, extended ranges and expressive symbols, with and without the use of notation software in a variety of styles and contexts."
Grades 9-12,1. Artistic Foundations,"2. Demonstrate knowledge and use of the technical skills of the art form, integrating technology when applicable.",Music,9.1.2.3.2,"2. Sing alone and in small and large groups (multi-part), or play an instrument alone and in small and large groups, a variety of music using characteristic tone, technique and expression."
Grades 9-12,1. Artistic Foundations,"2. Demonstrate knowledge and use of the technical skills of the art form, integrating technology when applicable.",Music,9.1.2.3.3,"3. Use electronic musical tools to record, mix, play back, accompany, arrange or compose music."
Grades 9-12,1. Artistic Foundations,"3. Demonstrate understanding of the personal, social, cultural and historical contexts that influence the arts areas.",Music,9.1.3.3.1,"1. Analyze how the personal, social, cultural and historical contexts influence the creation, interpretation or performance of music including the contributions of Minnesota American Indian tribes and communities."
Grades 9-12,1. Artistic Foundations,"3. Demonstrate understanding of the personal, social, cultural and historical contexts that influence the arts areas.",Music,9.1.3.3.2,2. Synthesize and express an individual view of the meanings and functions of music.
Grades 9-12,2. Artistic Process: Create or Make,1. Create or make in a variety of contexts in the arts area using the artistic foundations,Music,9.2.1.3.1,"1. Improvise, compose or arrange new musical compositions in a variety of styles and contexts using available technology to preserve the creations."
Grades 9-12,2. Artistic Process: Create or Make,1. Create or make in a variety of contexts in the arts area using the artistic foundations,Music,9.2.1.3.2,2. Revise a musical composition or arrangement based on artistic intent and using multiple sources of critique and feedback.
Grades 9-12,2. Artistic Process: Create or Make,1. Create or make in a variety of contexts in the arts area using the artistic foundations,Music,9.2.1.3.3,"3 Justify an artistic statement, including how audience and occasion influence creative choices."
Grades 9-12,3. Artistic Process: Perform or Present,1. Perform or present in a variety of contexts in the arts area using the artistic foundations.,Music,9.3.1.3.1,1. Rehearse and perform an existing single complex work or multiple works of music from a variety of contexts and styles alone and within small or large groups.
Grades 9-12,3. Artistic Process: Perform or Present,1. Perform or present in a variety of contexts in the arts area using the artistic foundations.,Music,9.3.1.3.2,"2. Revise performance based on artistic intent, and using multiple sources of critique and feedback."
Grades 9-12,3. Artistic Process: Perform or Present,1. Perform or present in a variety of contexts in the arts area using the artistic foundations.,Music,9.3.1.3.3,"3. Justify artistic intent, including how audience and occasion influence performance choices."
Grades 9-12,4. Artistic Process: Respond or Critique,1. Respond to or critique a variety of creations and performances using the artistic foundations.,Music,9.4.1.3.1,"1. Analyze, interpret and evaluate a variety of musical works or performances by applying self-selected criteria within the traditions of the art form."
Grades 9-12,4. Artistic Process: Respond or Critique,1. Respond to or critique a variety of creations and performances using the artistic foundations.,Music,9.4.1.3.2,2. Justify choices of self-selected criteria based on knowledge of how criteria affects criticism.
