Grade,Strand,Substrand,Standard,Code,Benchmark
9-12,1. The Nature of Science and Engineering,1. The Practice of Science,"1. Science is a way of knowing about the natural world and is characterized by emperical criteria, logical argument and skeptical review. ",9.1.1.1.1,Explain the implications of the assumption that the rules of the universe are the same everywhere and these rules can be discovered by careful and systematic investigation.
9-12,1. The Nature of Science and Engineering,1. The Practice of Science,"1. Science is a way of knowing about the natural world and is characterized by emperical criteria, logical argument and skeptical review. ",9.1.1.1.2,"Understand that scientists conduct investigations for a variety of reasons, including: to discover new aspects of the natural world, to explain observed phenomena, to test the conclusions of prior investigations, or to test the predictions of current theories."
9-12,1. The Nature of Science and Engineering,1. The Practice of Science,"1. Science is a way of knowing about the natural world and is characterized by emperical criteria, logical argument and skeptical review. ",9.1.1.1.3,"Explain how the traditions and norms of science define the bounds of professional scientific practice and reveal instances of scientific error or misconduct.  For example: The use of peer review, publications and presentations."
9-12,1. The Nature of Science and Engineering,1. The Practice of Science,"1. Science is a way of knowing about the natural world and is characterized by emperical criteria, logical argument and skeptical review. ",9.1.1.1.4,Explain how societal and scientific ethics impact research practices.  For example: Research involving human subjects may be conducted only with the informed consent of the subjects.
9-12,1. The Nature of Science and Engineering,1. The Practice of Science,"1. Science is a way of knowing about the natural world and is characterized by emperical criteria, logical argument and skeptical review. ",9.1.1.1.5,"Identify sources of bias and explain how bias might influence the direction of research and the interpretation of data.  For example: How funding of research can influence questions studied, procedures used, analysis of data, and communication of results."
9-12,1. The Nature of Science and Engineering,1. The Practice of Science,"1. Science is a way of knowing about the natural world and is characterized by emperical criteria, logical argument and skeptical review. ",9.1.1.1.6,Describe how changes in scientific knowledge generally occur in incremental steps that include and build on earlier knowledge.
9-12,1. The Nature of Science and Engineering,1. The Practice of Science,"1. Science is a way of knowing about the natural world that is characterized by emperical criteria, logical argument and skeptical review. ",9.1.1.1.7,"Explain how scientific and technological innovations-as well as new evidence-can challenge portions of, or entire accepted theories and models including, but not limited to: cell theory, atomic theory, theory of evolution, plate tectonic theory, germ theory of disease, and the big bang theory."
9-12,1. The Nature of Science and Engineering,1. The Practice of Science,2. Scientific inquiry uses multiple interrelated processes to pose and investigate questions about the natural world.,9.1.1.2.1,"Formulate a testable hypothesis, design and conduct an experiment to test the hypothesis, analyze the data, consider alternative explanations, and draw conclusions supported by evidence from the investigation."
9-12,1. The Nature of Science and Engineering,1. The Practice of Science,2. Scientific inquiry uses multiple interrelated processes to pose and investigate questions about the natural world.,9.1.1.2.2,"Evaluate the explanations proposed by others by examining and comparing evidence, identifying faulty reasoning, pointing out statements that go beyond the scientifically acceptable evidence, and suggesting alternative scientific explanations."
9-12,1. The Nature of Science and Engineering,1. The Practice of Science,2. Scientific inquiry uses multiple interrelated processes to pose and investigate questions about the natural world.,9.1.1.2.3,Identify the critical assumptions and logic used in a line of reasoning to judge the validity of a claim.
