Grade,Strand,Substrand,Standard,Code,Benchmark,Example
9/12,1. Citizenship and Government,1. Civic Skills,"1. Democratic government depends on informed and engaged citizens who exhibit civic skills and values, practice civic discourse, vote and participate in elections, apply inquiry and analysis skills and take action to solve problems and shape public policy.",9.1.1.1.1,"Demonstrate skills that enable people to monitor and influence state, local and national affairs.",For example: Working with others; conducting civil conversations; articulating ideas and interests; negotiating differences and managing conflict with people or groups who have different perspectives; using parliamentary procedures; building consensus.
9/12,1. Citizenship and Government,1. Civic Skills,"1. Democratic government depends on informed and engaged citizens who exhibit civic skills and values, practice civic discourse, vote and participate in elections, apply inquiry and analysis skills and take action to solve problems and shape public policy.",9.1.1.1.2,"Demonstrate the skills necessary to participate in the election process, including registering to vote, identifying and evaluating candidates and issues, and casting a ballot.",n/a
9/12,1. Citizenship and Government,1. Civic Skills,"1. Democratic government depends on informed and engaged citizens who exhibit civic skills and values, practice civic discourse, vote and participate in elections, apply inquiry and analysis skills and take action to solve problems and shape public policy.",9.1.1.1.3,"Evaluate sources of information and various forms of political persuasion for validity, accuracy, ideology, emotional appeals, bias and prejudice.",n/a
9/12,1. Citizenship and Government,1. Civic Skills,"1. Democratic government depends on informed and engaged citizens who exhibit civic skills and values, practice civic discourse, vote and participate in elections, apply inquiry and analysis skills and take action to solve problems and shape public policy.",9.1.1.1.4,"Examine a public policy issue by defining the problem, developing alternative courses of action, evaluating the consequences of each alternative, selecting a course of action, and designing a plan to implement the action and resolve the problem.",n/a
9/12,1. Citizenship and Government,2. Civic Values and Principles of Democracy,"3. The United States is based on democratic values and principles that include liberty, individual rights, justice, equality, the rule of law, limited government, common good, popular sovereignty, majority rule and minority rights.",9.1.2.3.1,"Analyze how constitutionalism preserves fundamental societal values, protects individual freedoms and rights, promotes the general welfare, and responds to changing circumstances and beliefs by defining and limiting the powers of government.",n/a
9/12,1. Citizenship and Government,2. Civic Values and Principles of Democracy,"3. The United States is based on democratic values and principles that include liberty, individual rights, justice, equality, the rule of law, limited government, common good, popular sovereignty, majority rule and minority rights.",9.1.2.3.2,Identify the sources of governmental authority; explain popular sovereignty (consent of the governmented) as the source of legitimate governmental authority in a representative democracy or republic.,n/a
9/12,1. Citizenship and Government,2. Civic Values and Principles of Democracy,"3. The United States is based on democratic values  and principles that include liberty, individual rights, justice, equality, the rule of law, limited government, common good, popular sovereignty, majority rule and minority rights.",9.1.2.3.3,"Define and provide examples of foundational ideas of American government which are embedded in founding era documents: natural rights philosophy, social contract, civic virtue, popularsovereignty, constitutionalism, representative democracy, political factions, federalism and individual rights.","For example: Documents—Mayflower Compact, English Bill of Rights, the Virginia Declaration of Rights, the Declaration of Independence, Virginia Statute for Religious Freedom, the Constitution, selected Federalist Papers (such as 10, 39, 51, 78), the Bill of Rights."
9/12,1. Citizenship and Government,2. Civic Values and Principles of Democracy,"3. The United States is based on democratic values  and principles that include liberty, individual rights, justice, equality, the rule of law, limited government, common good, popular sovereignty, majority rule and minority rights.",9.1.2.3.4,"Analyze how the following tools of civic engagement are used to influence the American political system: civil disobedience, initiative, referendum and recall.",n/a
9/12,1. Citizenship and Government,2. Civic Values and Principles of Democracy,"3. The United States is based on democratic values  and principles that include liberty, individual rights, justice, equality, the rule of law, limited government, common good, popular sovereignty, majority rule and minority rights.",9.1.2.3.5,"Analyze the tensions between the government’s dual role of protecting individual rights and promoting the general welfare, the struggle between majority rule and minority rights, and the conflict between diversity and unity.",n/a
9/12,1. Citizenship and Government,3. Rights and Responsibilities,"4. Individuals in a republic have rights, duties and responsibilities.",9.1.3.4.1,Analyze the meaning and importance of rights in the United States Constitution and the Bill of Rights and subsequent amendments; compare and contrast these with rights in the Minnesota Constitution.,n/a
