Grade,Strand,Substrand,Standard,Code,Benchmark,For Example
9/12,4. History,4. United States History,"15. North America was populated by indigenous nations that had developed a wide range of social structures, political systems and economic activities, and whose expansive trade networks extended across the continent. (Before European Contact)",9.4.4.15.1,"Compare and contrast selected examples of diverse societies that existed in North America prior to contact with Europeans; analyze their life ways, social organizations, political institutions, and the effect of their religious beliefs on environmental adaptations. (Before European Contact) ",n/a
9/12,4. History,4. United States History,"15. North America was populated by indigenous nations that had developed a wide range of social structures, political systems and economic activities, and whose expansive trade networks extended across the continent. (Before European Contact)",9.4.4.15.2,"Describe change over time in selected indiginous nations, including migration, trade and conflict. (Before European Contact)",n/a
9/12,4. History,4. United States History,"16. Rivalries among European nations and their search for new opportunities fueled expanding global trade networks and, in North America, colonization and settlement and the exploitation of indigenous peoples and lands; colonial development evoked varied responses by indigenous nations, and produced regional societies and economies that included imported slave labor and distinct forms of local government. (Colonization and Settlement: 1585-1763)",9.4.4.16.1,"Analyze the consequences of the transatlantic Columbian Exchange of peoples, animals, plants and pathogens on North American societies and ecosystems. (Colonization and Settlement: 1585-1763)",n/a
9/12,4. History,4. United States History,"16. Rivalries among European nations and their search for new opportunities fueled expanding global trade networks and, in North America, colonization and settlement and the exploitation of indigenous peoples and lands; colonial development evoked varied responses by indigenous nations, and produced regional societies and economies that included imported slave labor and distinct forms of local government. (Colonization and Settlement: 1585-1763)",9.4.4.16.2,"Compare and contrast the motivations for exploration, conquest and colonization in North America by different European nations. (Colonization and Settlement: 1585-1763)",n/a
9/12,4. History,4. United States History,"16. Rivalries among European nations and their search for new opportunities fueled expanding global trade networks and, in North America, colonization and settlement and the exploitation of indigenous peoples and lands; colonial development evoked varied responses by indigenous nations, and produced regional societies and economies that included imported slave labor and distinct forms of local government. (Colonization and Settlement: 1585-1763)",9.4.4.16.3,"Identify the varied economic, political and religious motives of free and indentured European immigrants who settled in North America. (Colonization and Settlement: 1585-1763)",n/a
9/12,4. History,4. United States History,"16. Rivalries among European nations and their search for new opportunities fueled expanding global trade networks and, in North America, colonization and settlement and the exploitation of indigenous peoples and lands; colonial development evoked varied responses by indigenous nations, and produced regional societies and economies that included imported slave labor and distinct forms of local government. (Colonization and Settlement: 1585-1763)",9.4.4.16.4,"Explain the origin and growth of the Atlantic slave trade; describe its demographic, economic, and political impact on West Africa, Europe, and the Americas (North America, Caribbean, Central and South America), including the impact on enslaved Africans. (Colonization and Settlement: 1585-1763)",n/a
9/12,4. History,4. United States History,"16. Rivalries among European nations and their search for new opportunities fueled expanding global trade networks and, in North America, colonization and settlement and the exploitation of indigenous peoples and lands; colonial development evoked varied responses by indigenous nations, and produced regional societies and economies that included imported slave labor and distinct forms of local government. (Colonization and Settlement: 1585-1763)",9.4.4.16.5,Analyze the impact of European colonization within North America on indigenous nations; analyze the impact of indigenous nations on colonization. (Colonization and Settlement: 1585-1763),n/a
9/12,4. History,4. United States History,"16. Rivalries among European nations and their search for new opportunities fueled expanding global trade networks and, in North America, colonization and settlement and the exploitation of indigenous peoples and lands; colonial development evoked varied responses by indigenous nations, and produced regional societies and economies that included imported slave labor and distinct forms of local government. (Colonization and Settlement: 1585-1763)",9.4.4.16.6,"Compare and contrast the development of regional economies and labor systems in the British North American colonies (New England, Mid-Atlantic, and Southern colonies), including regional differences in the experiences of indentured servants, enslaved Africans and indigenous people. (Colonization and Settlement: 1585-1763)",n/a
9/12,4. History,4. United States History,"16. Rivalries among European nations and their search for new opportunities fueled expanding global trade networks and, in North America, colonization and settlement and the exploitation of indigenous peoples and lands; colonial development evoked varied responses by indigenous nations, and produced regional societies and economies that included imported slave labor and distinct forms of local government. (Colonization and Settlement: 1585-1763)",9.4.4.16.7,"Describe the growth of colonial societies in British North America, including the evolution of representative forms of government, increased ethnic and religious pluralism, and changing concepts of racial identity, gender roles and family organization. (Colonization and Settlement: 1585-1763)","For example: The Great Awakening, 1720s to early 1760s; the difference in gender roles North and South; Pennsylvania as an example of both ethnic and religious diversity in the colonial period."
9/12,4. History,4. United States History,"17. The divergence of colonial interests from those of England led to an independence movement that resulted in the American Revolution and the foundation of a new nation based on the ideals of self-government and liberty. (Revolution and a New Nation, 1754-1800)",9.4.4.17.1,"Describe the political and military events that caused some North American colonies to break with Great Britain, wage war and proclaim a new nation in 1776. (Revolution and a New Nation: 1754-1800)","For example: Events—French and Indian War, Stamp Act."
9/12,4. History,4. United States History,"17. The divergence of colonial interests from those of England led to an independence movement that resulted in the American Revolution and the foundation of a new nation based on the ideals of self-government and liberty. (Revolution and a New Nation, 1754-1800)",9.4.4.17.2,"Analyze the American 4. History10 revolutionaries’ justifications, 11 principles and ideals as 12 expressed in the Declaration of Independence; identify the sources of these principles and ideals and their impact on subsequent revolutions in Europe, the Caribbean, and Latin America. (Revolution and a New Nation: 1754-1800)",n/a
9/12,4. History,4. United States History,"17. The divergence of colonial interests from those of England led to an independence movement that resulted in the American Revolution and the foundation of a new nation based on the ideals of self-government and liberty. (Revolution and a New Nation, 1754-1800)",9.4.4.17.3,"Develop a timeline of the major events and turning points of the American Revolution, including the involvement of other nations; analyze the reasons for American victory. (Revolution and a New Nation: 1754-1800)",n/a
9/12,4. History,4. United States History,"17. The divergence of colonial interests from those of England led to an independence movement that resulted in the American Revolution and the foundation of a new nation based on the ideals of self-government and liberty. (Revolution and a New Nation, 1754-1800)",9.4.4.17.4,"Analyze the arguments about the organization and powers of the federal government between 1783 and 1800, including the debates over the Articles of  Confederation, the Constitution and the Bill of Rights; explain the origins of the two-party political system and the significance of the election of 1800. (Revolution and a New Nation: 1754-1800)","For example: Ratification debates—Federalists/Anti-Federalists, full funding and assumption, Neutrality Proclamation and the Election of 1800)."
9/12,4. History,4. United States History,"18. Economic expansion and the conquest of indigenous and Mexican territory spurred the agricultural and industrial growth of the United States; led to increasing regional, economic and ethnic divisions; and inspired multiple reform movements. (Expansion and Reform: 1792-1861)",9.4.4.18.1,Analyze the differential impact of technological change and innovation on regional economic development and labor systems. (Expansion and Reform: 1792-1861),"For example: Technological changes—the cotton gin, the factory system, steam transportation, the Erie Canal, early railroads, the telegraph."
