Grade,Strand,Substrand,Standard,Code,Benchmark,For Example
9/12,4. History,1. Historical Thinking Skills,2. Historical inquiry is a process in which multiple sources and different kinds of historical evidence are analyzed to draw conclusions about how and why things happened in the past.,9.4.1.2.1,Pose questions about topics in history; suggest possible answers and write a thesis; locate and organize primary and secondary sources; analyze them for credibility and bias; corroborate information across the sources; use sources to support or refute the thesis; and present supported findings.,n/a
9/12,4. History,1. Historical Thinking Skills,2. Historical inquiry is a process in which multiple sources and different kinds of historical evidence are analyzed to draw conclusions about how and why things happened in the past.,9.4.1.2.2,Evaluate alternative interpretations of historical events; use historical evidence to support or refute those interpretations.,n/a
9/12,4. History,3. World History,"6. Environmental changes and human adaptation enabled human migration from Africa to other regions of the world. (The Beginnings of Human History: 200,000-8000 BCE)",9.4.3.6.1,"Develop a timeline that traces the migration of the earliest humans from Africa to other world regions, including the Americas; analyze the environmental factors that enabled their migration to other world regions and the ways in which they adapted to different environments. (The Beginnings of Human History: 200,000-8000 BCE)",n/a
9/12,4. History,3. World History,7. The emergence of domestication and agriculture facilitated the development of complex societies and caused far-reaching social and cultural effects.  (Early Civilizations and the Emergence of Pastoral Peoples: 8000 BCE-2000 BCE),9.4.3.7.1,Locate on a map and describe when and how humans began to domesticate wild plants and animals and develop agricultural societies. (Early Civilizations and the Emergence of Pastoral Peoples: 8000 BCE-2000 BCE),n/a
9/12,4. History,3. World History,7. The emergence of domestication and agriculture facilitated the development of complex societies and caused far-reaching social and cultural effects.  (Early Civilizations and the Emergence of Pastoral Peoples: 8000 BCE-2000 BCE),9.4.3.7.2,Compare and contrast the cultural differences between the hunter gatherer and early agricultural societies. (Early Civilizations and the Emergence of Pastoral Peoples: 8000 BCE-2000 BCE),n/a
9/12,4. History,3. World History,"8. The development of interregional systems of communication and trade facilitated new forms of social organization and new belief systems. (Classical Traditions, Belief Systems and Giant Empires: 2000 BCE - 600 CE)",9.4.3.8.1,"Describe the development, characteristics, and decline of civilizations in Africa, East Asia, and South Asia; describe their interactions. (Classical Traditions, Belief Systems, and Giant Empires 2000 BCE - 600CE)","For example: African civilizations, Kush, Aksum. East Asian civilization, Shang, Zhou, Qin, Han. South Asian civilization, Indo-Aryan, Mauryan, Gupta."
9/12,4. History,3. World History,"8. The development of interregional systems of communication and trade facilitated new forms of social organization and new belief systems. (Classical Traditions, Belief Systems and Giant Empires: 2000 BCE - 600 CE)",9.4.3.8.2,"Describe the development, characteristics, and decline of civilizations in Southwest Asia and around the Mediterranean Sea (Mesopotamia, Egypt, Persia, Greece, Rome); describe their interactions. (Classical Traditions, Belief Systems, and Giant Empires: 2000 BCE – 600 CE)",n/a
9/12,4. History,3. World History,"8. The development of interregional systems of communication and trade facilitated new forms of social organization and new belief systems. (Classical Traditions, Belief Systems and Giant Empires: 2000 BCE - 600 CE)",9.4.3.8.3,"Analyze the emergence, development, and impact of religions and philosophies of this era, including Hinduism, Confucianism, Buddhism, Judaism and Christianity. (Classical Traditions, Belief Systems, and Giant Empires: 2000 BCE – 600 CE)",n/a
9/12,4. History,3. World History,"9. Hemispheric networks intensified as a result of innovations in agriculture, trade across longer distances, the consolidation of belief systems and the development of new multi-ethnic empires while diseases and climate change caused sharp, periodic fluctuations in global population. (Post-Classical and Medieval Civilizations and Expanding Zones of Exchange: 600-1450)",9.4.3.9.1,Describe the rise and significance of Islam in Southwest Asia and its expansion and institutionalization into other regions. (Post-Classical and Medieval Civilizations and Expanding Zones of Exchange: 600-1450),n/a
9/12,4. History,3. World History,"9. Hemispheric networks intensified as a result of innovations in agriculture, trade across longer distances, the consolidation of belief systems and the development of new multi-ethnic empires while diseases and climate change caused sharp, periodic fluctuations in global population. (Post-Classical and Medieval Civilizations and Expanding Zones of Exchange: 600-1450)",9.4.3.9.2,"Describe the characteristics of the Swahili, Ghana and Mali Songhai cultures in Africa, including trade across longer distances and the impact of Islam. (Post-Classical and Medieval Civilizations and Expanding Zones of Exchange: 600-1450)",n/a
